,name,name_en,code,lat,lon,has_flightable_airport,time_zone
252,Ягодное,Yagodnoe,ЯГО,62.5210915402726,149.61951411049986,True,Asia/Magadan
253,Соловецкий,Solovetsky,CSH,65.02944,35.733334,True,Europe/Moscow
254,Бодайбо,Bodaybo,ODO,57.86639,114.2425,True,Asia/Irkutsk
255,Великий Новгород,Novgorod,NVR,58.516666,31.3,False,Europe/Moscow
256,Удачный,Udachnyj,PYJ,66.416664,112.05,True,Asia/Yakutsk
257,Ставрополь,Stavropol,STW,45.333332,42.00833,True,Europe/Moscow
258,Аянка,Ajanka,АЯК,63.7166672,167.58333,False,Asia/Kamchatka
259,Тында,Tynda,TYD,55.283333,124.73333,True,Asia/Yakutsk
260,Саранск,Saransk,SKX,54.166668,45.166668,True,Europe/Moscow
261,Чумикан,Chumikan,ЧМИ,54.6949997,135.28334,True,Asia/Vladivostok
262,Юкта,Jukta,ЮКТ,63.3883324,105.655,False,Asia/Krasnoyarsk
263,Нерюнгри,Neryungri,NER,56.65,124.6,True,Asia/Yakutsk
264,Преображение,Preobrazheniye,RZH,42.90104,133.89621,True,Asia/Vladivostok
265,Большой Ларьяк,Bolshoy Larjak,БОК,61.0766678,80.77666,False,Asia/Yekaterinburg
266,Богородское,Bogorodskoye,BQG,52.378334,140.44833,True,Asia/Vladivostok
267,Кисловодск,Kislovodsk,КСВ,43.912711,42.720079,False,Europe/Moscow
268,Вологда,Vologda,VGD,59.283333,39.95,True,Europe/Moscow
269,Лешуконское,Leshukonskoye,LDG,64.9,45.75,True,Europe/Moscow
270,Зея,Zeja,ЗЕЯ,53.689724,127.09222,True,Asia/Yakutsk
271,Северо-Курильск,Severo-Kurilsk,СКР,50.6663874710616,156.12252280213875,True,Asia/Magadan
272,Самара,Samara,KUF,53.50782,50.14742,True,Europe/Samara
273,Лайтамак,Laitamak,ЛАЙ,58.4119453,67.45834,True,Asia/Yekaterinburg
274,Чемдальск,Chemdalsk,ЧЕМ,59.625,103.32,False,Asia/Krasnoyarsk
275,Эвенск,Evensk,SWV,61.924444,159.231111,True,Asia/Magadan
276,Адамовка,Adamovka,АДМ,51.4833336,59.96667,False,Asia/Yekaterinburg
277,Инта,Inta,INA,66.066666,60.1,True,Europe/Moscow
278,Алдан,Aldan,ADH,58.6,125.4,False,Asia/Yakutsk
279,Кузьмовка,Kuzmovka,КЗВ,62.3118802,92.6323,False,Asia/Krasnoyarsk
280,Берёзово,Berezovo,EZV,63.924583,65.04485,True,Asia/Yekaterinburg
281,Бугуруслан,Buguruslan,БГГ,53.6166649,52.45,False,Asia/Yekaterinburg
282,Стрелка-Чуня,Strelka-Chunya,СЧУ,61.7383347,102.80167,False,Asia/Krasnoyarsk
283,Подволочное,Podvolochnoe,ПДВ,55.2061081,103.37056,False,Asia/Irkutsk
284,Грозный,Groznyy,GRV,43.333332,45.75,True,Europe/Moscow
285,Ханты-Мансийск,Khanty-Mansiysk,HMA,61.02613,69.09714,True,Asia/Yekaterinburg
286,Усть-Коликъеган,Ust-Kolikjegan,УТЕ,61.1116676,78.25,False,Asia/Yekaterinburg
287,Шушенское,Shushenskoe,ШУШ,53.3855553,92.04472,True,Asia/Krasnoyarsk
288,Магдагачи,Magdagachi,GDG,53.466667,125.8,False,Asia/Yakutsk
289,Нальчик,Nalchik,NAL,43.533333,43.7,True,Europe/Moscow
290,Хабаровск,Khabarovsk,KHV,48.524563,135.16861,True,Asia/Vladivostok
291,Поляна Чегет,Glade Cheget,ПЛЧ,43.246289,42.524021,False,Europe/Moscow
292,Певек,Pevek,PWE,69.78333,170.6,True,Asia/Anadyr
293,Волгоград,Volgograd,VOG,48.792,44.354805,True,Europe/Moscow
294,Тюмень,Tyumen,TJM,57.181828,65.35024,True,Asia/Yekaterinburg
295,Батагай,Batagay,BQJ,67.655,134.641667,True,Asia/Vladivostok
296,Комсомольск-на-Амуре,Komsomolsk Na Amure,KXK,50.4,136.95,True,Asia/Vladivostok
297,Благовещенск,Blagoveschensk,BQS,50.416668,127.4,True,Asia/Yakutsk
298,Мурманск,Murmansk,MMK,68.785095,32.759155,True,Europe/Moscow
299,Красноселькуп,Krasnoselkup,KKQ,65.70796,82.456055,True,Asia/Yekaterinburg
300,Нягань,Nyagan,NYA,62.101074,65.60563,True,Asia/Yekaterinburg
301,Озерная,Ozernaya,ОЗР,51.5,156.58333,True,Asia/Kamchatka
302,Каменское,Kamenskoe,КДУ,62.4655571,166.19167,False,Asia/Kamchatka
303,Светлый [ПРУ],Svetly,СЛЙ,50.7999992,60.91667,False,Asia/Yekaterinburg
304,Усть-Нера,Ust-Nera,USR,64.568056,143.236111,True,Asia/Ust-Nera
305,Полигус,Poligus,ПГУ,62.0,94.66666,False,Asia/Krasnoyarsk
306,Покур,Pokur,ПУР,60.9894447,75.48944,False,Asia/Yekaterinburg
307,Богучаны,Boguchany,BGS,58.3805542,97.47278,True,Asia/Krasnoyarsk
308,Хужир,Khuzhir,ХЖР,53.2166672,107.395,True,Asia/Irkutsk
309,Томск,Tomsk,TOF,56.5,84.96667,True,Asia/Novokuznetsk
310,Тамбов,Tambov,TBW,52.716667,41.433334,True,Europe/Moscow
311,Краснокаменск,Krasnokamensk,КНК,50.0499992,118.11667,True,Asia/Yakutsk
312,Радужный,Raduzhnyi,RAT,62.5,77.0,False,Asia/Yekaterinburg
313,Железноводск,Zheleznovodsk,ЖЛН,44.140291,43.010387,False,Europe/Moscow
314,Советский,Sovetsky,OVS,61.33209,63.601887,True,Asia/Yekaterinburg
315,Оренбург,Orenburg,REN,51.79105,55.4567,True,Asia/Yekaterinburg
316,Псков,Pskov,PKV,57.816666,28.3,True,Europe/Moscow
317,Сангар,Sangar,САГ,63.958889,127.42111,True,Asia/Yakutsk
318,Чокурдах,Chokurdah,CKH,70.63333,147.88333,True,Asia/Srednekolymsk
319,Терней,Terney,NEI,45.03333,136.6,True,Asia/Vladivostok
320,Светлогорск,Svetlogorsk,SES,66.8383331,88.40667,True,Asia/Krasnoyarsk
