INFO | Дата выбрана с первого раза: 29.06.2026
INFO | Найдено поездов для Екатеринбург на 29.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 29.06.2026
INFO | Начало парсинга: Екатеринбург, день 30
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 30
INFO | Дата выбрана с первого раза: 30.06.2026
INFO | Найдено поездов для Екатеринбург на 30.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 30.06.2026
INFO | Начало парсинга: Казань, день 1
INFO | Запуск браузера
INFO | Открыт сайт для Казань, день 1
INFO | Дата выбрана с первого раза: 1.06.2026
INFO | Найдено поездов для Казань на 01.06.2026: 9
INFO | Успешно спарсено строк: 24 для Казань, 1.06.2026
INFO | Начало парсинга: Казань, день 2
INFO | Запуск браузера
INFO | Открыт сайт для Казань, день 2
INFO | Дата выбрана с первого раза: 2.06.2026
INFO | Найдено поездов для Казань на 02.06.2026: 8
INFO | Успешно спарсено строк: 23 для Казань, 2.06.2026
