name,name_en,code,lat,lon,has_flightable_airport,time_zone
Астрахань,Astrakhan,ASF,46.2877,47.999977,True,Europe/Samara
Кемерово,Kemerovo,KEJ,55.280567,86.11623,True,Asia/Novokuznetsk
Калининград,Kaliningrad,KGD,54.882656,20.586645,True,Europe/Kaliningrad
Ноябрьск,Nojabrxsk,NOJ,63.17673,75.29459,True,Asia/Yekaterinburg
Кослан,Koslan,КОС,63.4747238,48.84028,False,Europe/Moscow
Юкта,Jukta,ЮКТ,63.3883324,105.655,False,Asia/Krasnoyarsk
Берёзово,Berezovo,EZV,63.924583,65.04485,True,Asia/Yekaterinburg
Ванавара,Vanavara,VAQ,60.3566666,102.31,True,Asia/Krasnoyarsk
Кислокан,Kislokan,КСЮ,63.5933342,103.95,False,Asia/Krasnoyarsk
Казачинское,Kazachinskoye,КЗЧ,56.2683334,107.57333,True,Asia/Irkutsk
Беринговский,Beringovskiy,БНГ,63.0208321,179.29056,True,Asia/Anadyr
Лешуконское,Leshukonskoye,LDG,64.9,45.75,True,Europe/Moscow
Вилюйск,Vilyuisk,VYI,63.75639,121.69306,True,Asia/Yakutsk
Зональное,Zonalnoye,ZZO,50.666668,142.75,True,Asia/Sakhalin
Томск,Tomsk,TOF,56.5,84.96667,True,Asia/Novokuznetsk
Бурный,Burnyj,БУЫ,61.8499985,92.65,False,Asia/Krasnoyarsk
Омсукчан,Omsukchan,ОСУ,62.4583321,155.74556,True,Asia/Magadan
Новокуровка,Novokurovka,НУВ,48.8499985,134.3,False,Asia/Vladivostok
Соболево,Sobolevo,СБО,54.3069458,155.97417,True,Asia/Kamchatka
Оссора,Ossora,ОСО,59.2236099,163.06639,True,Asia/Kamchatka
Диксон,Dikson,DKS,73.51667,80.36667,True,Asia/Krasnoyarsk
Чара,Chara,CZR,56.9147224,118.27084,True,Asia/Yakutsk
Удское,Udskoe,УДС,54.501667,134.33833,False,Asia/Vladivostok
Чегдомын,Chegdomyn,ЧГД,51.1377792,132.93611,True,Asia/Vladivostok
Воронеж,Voronezh,VOZ,51.812355,39.226997,True,Europe/Moscow
Ошарово,Osharovo,ОША,60.3666649,98.3,False,Asia/Krasnoyarsk
Синегорье,Sinegorye,СНГ,62.086505134577564,150.52713219701226,True,Asia/Magadan
Кисловодск,Kislovodsk,КСВ,43.912711,42.720079,False,Europe/Moscow
Тамбов,Tambov,TBW,52.716667,41.433334,True,Europe/Moscow
